,July 2022 actual,July 2024 predicted,Percent change
Portable Appliance Testing,1.997409225319237e-05,-1.3504346336307149e-05,-167.60931192829958
Military Services,2.386786393066363e-06,-1.617932425788639e-06,-167.78706425043933
File Monitoring,5.6080132530381e-06,-3.808001346719065e-06,-167.90285926403809
Microsoft Sway,6.276896501508966e-07,-4.265553234099098e-07,-167.95640541585573
Continuous Mandatory Ventilation,6.276896501508966e-07,-4.265553234099098e-07,-167.95640541585573
Quantum GIS (QGIS),5.545574414392365e-05,-3.770389953349293e-05,-167.98916886885593
Therapeutic Relationship,0.0007853324306491,-0.0005340212265184,-167.99938544203707
Customer Interaction Management,0.0026350821522061,-0.0017959559185966,-168.15559496287506
Scalability Design,0.0003468114414656,-0.0002373921871266,-168.44992948427475
Petrel,1.4396534649656645e-06,-9.896713130550678e-07,-168.7437176472653
Execution Management Systems,0.0001166938070972,-8.111052511799367e-05,-169.50713764135975
Needs Based Selling,5.8230672157286464e-05,-4.086638109105166e-05,-170.18016378149946
Liquidnet,6.311362219175937e-07,-4.4380224382829846e-07,-170.31798024202848
File Format,2.7795959529535945e-06,-1.970228637524141e-06,-170.8818357369739
Packaging Engineering,0.0002436366188296,-0.0001738105816177,-171.340089372716
AIRS Certified Diversity Recruiter (CDR),3.0670620980427984e-05,-2.1959076149543523e-05,-171.59645109095246
Managing Client Expectations,0.0003639156976169,-0.0002607144658211,-171.6414454029841
Laminated Veneer Lumber (LVL),2.1101292499191372e-05,-1.527814353194179e-05,-172.40382802393393
Dry Rot,9.936485981605576e-07,-7.196996076302184e-07,-172.42999275221908
General Anaesthesia,8.29423077844101e-05,-6.01286948416249e-05,-172.4946007023532
Strength Training And Conditioning,0.0002791108575176,-0.0002036650524184,-172.96923316770557
Genetics,0.0004757647179459,-0.0003478553462381,-173.1149942643824
Telecommunications Management Networks,1.914816833397013e-05,-1.4011338058877314e-05,-173.17325508372653
Corporate Services,0.0002957254834736,-0.000217946918797,-173.699065848837
Catalytic Reforming,3.0777567072736253e-06,-2.2752321744033747e-06,-173.92501717326604
Border Studies,6.614334055618612e-07,-4.892380062393352e-07,-173.96632860170513
Brightcove,9.08826394119841e-06,-6.778404673229254e-06,-174.58415289307095
Traffic Reporting,3.531470549875508e-05,-2.636190129121059e-05,-174.64850950587683
Windows Forms,9.718747768747028e-05,-7.338312868503601e-05,-175.50677353827115
Lending Products,0.0006450330502463,-0.0004880520718469,-175.663110853086
CTQ Trees (Critical-To-Quality Trees),1.0058936414007803e-05,-7.626057715493072e-06,-175.8137580517283
Scaling And Root Planing,4.439629359816106e-05,-3.373383554992767e-05,-175.98345000431516
Block Trades,8.674331166196903e-06,-6.71332099036436e-06,-177.39295239874605
JAFAN,3.713099775956783e-06,-2.877371352582326e-06,-177.49243290508915
Cite Checks,3.5645873537404875e-05,-2.765419210492336e-05,-177.5803462240995
NVivo,3.4261766141182765e-05,-2.6637252173302912e-05,-177.7462903212244
Product Planning,0.0005023292891466,-0.0003911415680248,-177.86557074728904
Emission Testing,2.049189645828319e-05,-1.6027099431795118e-05,-178.2118895848543
Operating System Development,4.127795252629032e-05,-3.240125300463494e-05,-178.49530081221513
Wiki Software,5.772622359519682e-06,-4.604171557310006e-06,-179.75875209846748
SystemVerilog (Direct Programming Interface),7.894091619063596e-05,-6.301963156122977e-05,-179.83139112427128
Universal Testing Machines,2.626320396997461e-05,-2.098709659342589e-05,-179.9106484396168
HIV Testing,7.078821092096646e-06,-5.662017866598991e-06,-179.98532231476386
Apache MXNet,2.288051195766877e-05,-1.863226033892709e-05,-181.43288215490384
Health Information Exchange (HIE),2.6388260747501385e-05,-2.151374472571005e-05,-181.5277101115772
Graph Algorithms,1.857888300086765e-05,-1.5175191030970124e-05,-181.67978145005503
Power-System Automation,1.0808236269918773e-05,-8.848174631049537e-06,-181.86511110675445
Application Xml,4.968242990802788e-07,-4.12694248727445e-07,-183.0664380730622
Kinesiotherapy,8.452769498163048e-06,-7.047785708300697e-06,-183.37842064464573
Educational Games,7.713403885780937e-06,-6.487118179931448e-06,-184.10188648217877
Mobility Management,2.188560043654579e-05,-1.8434654219161422e-05,-184.23188695512422
ANSI Escape Codes (Computer Standards),1.0958553172496298e-05,-9.280839091350997e-06,-184.69036874907886
DbUnit,6.109141314333691e-06,-5.185462472242699e-06,-184.88038179893152
Polytetrafluoroethylene,4.279434783820278e-06,-3.6483786577102097e-06,-185.2537506005239
Flight Planning,5.267257294536887e-05,-4.550920460999361e-05,-186.40019286165307
Healthcare Services,0.0003336751115488,-0.0002886311791866,-186.50066163067353
Investment Performance,0.0001812221142233,-0.0001577749562975,-187.06164640761853
Drawing Interpretation,0.0004918019441823,-0.0004287848270439,-187.18648474576975
Utility Task Vehicle,2.024227431124173e-05,-1.77137232365249e-05,-187.50856234908062
Certified Park And Recreation Professional,1.4061377778982255e-05,-1.230700408262206e-05,-187.52345805698727
Battery Testing,0.0008141509317563,-0.000712671779074,-187.53558477622968
Frequency Counter,1.0063143260773368e-05,-8.86614832581444e-06,-188.10515855791428
Embedded Code,2.006833346044212e-05,-1.7733439696523584e-05,-188.36528320340608
GIAC Reverse Engineering Malware,2.919509477214054e-05,-2.6399189898572625e-05,-190.42337455867445
American Culinary Federation Certification,4.137505031803232e-05,-3.750280687407795e-05,-190.6411148404894
Biochemical Genetics,5.189121160778068e-06,-4.732904932369544e-06,-191.20821784126315
Landing Page Optimization,7.921641577736215e-05,-7.323028074380894e-05,-192.4433149684817
Embosser,4.188834315602023e-05,-3.881581236333149e-05,-192.6649502911954
Wireless Intrusion Prevention Systems,2.8132260020930017e-05,-2.608052519379949e-05,-192.70682545375283
User Identification,2.774580968126524e-05,-2.577007398582236e-05,-192.8791564631219
Television Programming,5.4745585206494e-06,-5.1142094486846e-06,-193.41775102767457
Parametric Statistics,1.8807881254560911e-06,-1.765650637768241e-06,-193.87823188962716
Height Gauges,0.0001756315488685,-0.0001674389162217,-195.3353297288666
Popliteal Bypasses,1.950556461274619e-06,-1.8615385654325195e-06,-195.43628202467264
Alliance Of Information And Referral Systems (AIRS) Certified,0.0001138868899003,-0.0001095967428828,-196.23297552399953
Hardware Acceleration,8.744940953794848e-06,-8.416283651234793e-06,-196.24174360585664
Prospective Payment Systems,3.312352617140433e-05,-3.19433117310499e-05,-196.43692995049147
Joomla (Content Management System),0.0002710482440776,-0.0002621817950103,-196.72882991827774
Certified Coding Associate,1.4515282488317932e-05,-1.410566938711284e-05,-197.17805628974324
Detention Basin,2.272817211787253e-05,-2.223804155368268e-05,-197.84351085671148
PDF Writer,6.269293751520304e-07,-6.135397162562959e-07,-197.86424764472275
E-Sourcing,6.703887816612587e-05,-6.579329995041754e-05,-198.14200617644332
Certified Nuclear Medicine Technologist,2.572963893584784e-05,-2.5277142753535432e-05,-198.24134266539602
Freight Control Processes,9.757837448897268e-05,-9.597379712213948e-05,-198.35560145858494
Insurance License,0.0011346426418533,-0.0011201072323352,-198.71894383465457
DAWIA Level 2,1.0783507174522304e-05,-1.0710030414785285e-05,-199.3186190860927
Cross-Platform Applications,1.9907267841176983e-05,-1.996684547019443e-05,-200.29927576949666
JOnAS,1.1407554758194365e-05,-1.1453860287079843e-05,-200.40591984756605
Truth in Negotiations Act (TINA),2.698479337034155e-06,-2.7130084782318072e-06,-200.53841958314277
Molecular And Cellular Biology,4.54323763167564e-05,-4.590973310349274e-05,-201.0506973780288
Educational Data Mining,1.7038828481497038e-05,-1.730287120815823e-05,-201.5496530582952
Online Service Provider,7.509277523144781e-05,-7.63772736854477e-05,-201.71054865137273
Teradata BI,6.269293751520304e-07,-6.425919527952718e-07,-202.49830016968707
Pypi,1.15825770464214e-06,-1.198326251727816e-06,-203.45938101038197
Fluency Disorders,3.071826378013824e-05,-3.1795059561429176e-05,-203.5053927168474
Virus-Host Interactions,6.269293751520304e-07,-6.50332737082897e-07,-203.73301409352388
Seamanship,4.88761075014109e-06,-5.140866167305709e-06,-205.18157910094024
Filler Metal,1.3705068468845472e-05,-1.4634486634090072e-05,-206.7815652826351
Certified Athletic Trainer,0.0001272400556896,-0.0001367063718807,-207.43972968244603
Ambulatory Phlebectomy,1.388834032690492e-06,-1.493603598371382e-06,-207.5437066787546
Concept Arts,7.56051348036859e-05,-8.167070233272606e-05,-208.02269256551136
Enterprise Services Repository,1.7048307388735968e-06,-1.8433251102766344e-06,-208.1236434940481
Bayesian Modeling,2.0316082380804428e-05,-2.202215847252136e-05,-208.39766279609555
Ambulatory Care Nursing,6.532387749480213e-05,-7.09535250496686e-05,-208.61805479216144
Open Neural Network Exchange (ONNX),1.0084642956486733e-05,-1.101333368218438e-05,-209.20895989778484
VxLAN (Virtual Extensible LAN),0.0001150535996713,-0.0001261746595196,-209.6659816642609
Certified Registered Nurse First Assistant,2.366264144435458e-06,-2.595327074699293e-06,-209.68036179741398
Registered Cardiac Electrophysiology Specialist,3.59636001611634e-05,-3.947163025611508e-05,-209.7543907707548
Fused Deposition Modeling,1.994741015740626e-05,-2.196822381861348e-05,-210.13070692015083
Certified Employee Benefit Specialist,0.0001983956156534,-0.0002189481631532,-210.35937585218898
Executable,1.435868134285367e-05,-1.5969847990836356e-05,-211.2208538480072
Atomic Layer Deposition,6.614334055618612e-07,-7.376753007911338e-07,-211.52676816564897
Google Services,1.4816193798275184e-05,-1.6655892986407024e-05,-212.4168137456869
Fibroblast,7.0435567866879495e-06,-7.919406580088427e-06,-212.4347658423909
Genetic Disorders,2.356751591040652e-05,-2.6618747477170463e-05,-212.94676782382754
Paragraphs,0.0001334338118557,-0.0001514440434131,-213.49750210005007
Molecular Dynamics,1.5165014937097464e-05,-1.7367411046580987e-05,-214.52287464680242
Axonometric Projection,1.2553793003017931e-06,-1.442555029827475e-06,-214.90989452197314
Batteries,0.0012580535739967,-0.0014495041711355,-215.21800033766306
Oracle Application Framework (OAF),3.2771630004021345e-05,-3.779852977538419e-05,-215.33918139178917
SAP Infrastructure,9.38313743226724e-06,-1.082931100825424e-05,-215.41247356149577
Deterrence,0.0001195024912203,-0.0001385493661348,-215.9384751899335
Incident Response Management,1.5678724486808095e-05,-1.828768137495278e-05,-216.64010927891377
FXall,1.181803315692327e-05,-1.38097492375825e-05,-216.8531942177911
Intelink,4.968242990802788e-07,-5.811328024136676e-07,-216.96948065733918
Ceramic Materials,3.955250262333608e-05,-4.630785707440096e-05,-217.07946148287266
Tissue Handling,4.513963600472592e-06,-5.300328890202782e-06,-217.42072731042538
Pelvic Health,0.0001898050576498,-0.0002248815454652,-218.48027036250946
Autonomous Vehicles,5.352764831502409e-05,-6.353770713034587e-05,-218.70072594336665
Biochemical Techniques,2.3950947332321732e-05,-2.856288217813757e-05,-219.2557512729029
IT Portfolio Management,1.919499002631485e-06,-2.289372733276557e-06,-219.26928485703843
Knowledge Engineering,2.9937360709451e-05,-3.573469399927633e-05,-219.36487770612038
Baking,0.0022631523913251,-0.0027109596412332,-219.78688008923268
Religious Studies,0.0001183131605716,-0.0001417451388683,-219.80504804663687
Synology,1.295486502883191e-05,-1.57031467805075e-05,-221.21428317129593
Cross Curricular Instruction,5.4019285295514513e-05,-6.575014691002241e-05,-221.71606223653973
Bare Metal,0.0001281004182734,-0.0001560374960559,-221.80873267944756
Luciferase,8.603037744748447e-06,-1.0484751557570951e-05,-221.87266717469836
SAP Project Management,5.287665284911142e-05,-6.48097226939821e-05,-222.56774814949583
Climate Resilience,9.80036566542581e-06,-1.203638459225163e-05,-222.8156683450512
Go Server,4.553087680200541e-05,-5.606407642460992e-05,-223.13419016376287
Gas Trading,7.67545328360441e-06,-9.496186136952792e-06,-223.72150264060187
Spasticity,1.0541324939337728e-05,-1.3050834263031149e-05,-223.80639377056414
Aquaponics,1.230751812500463e-05,-1.5256693253578564e-05,-223.9623870435927
Office Open XML,2.1014803289736272e-05,-2.6069090864803096e-05,-224.05108201767163
Brake (Sheet Metal Bending),0.00014058828365,-0.0001746247783879,-224.21005069144678
Patient Rights,0.0014221489013209,-0.0017727913993799,-224.65582174505926
Netty,1.3848635536993332e-05,-1.731658249277907e-05,-225.0417952477841
Lifting Equipment,0.0013463972562732,-0.0016851787344043,-225.16207430998784
Httpclient,5.481451664182795e-06,-6.862542669263221e-06,-225.19571620242183
American Board Of Pathology Certification,3.47513580301802e-05,-4.362882717068741e-05,-225.5456754605028
Open Source Development,2.933988998012425e-05,-3.692107605615719e-05,-225.83917690614612
Spectroscopic Methods,5.05556951293962e-06,-6.3699411015895685e-06,-225.99848711971703
Involuntary Deductions,1.014663575133551e-05,-1.2834330982587776e-05,-226.48853567940992
TeleCommunications Device For The Deaf,4.324694531209263e-05,-5.479502815560983e-05,-226.70265555215562
Coding Classification Systems,1.970537149206799e-05,-2.5012312638248224e-05,-226.93144429333108
Apraxia Of Speech,4.902820671755862e-06,-6.2417636747893545e-06,-227.30964668454766
Salinity,6.311362219175937e-07,-8.045331164076564e-07,-227.47376690934126
Music Therapy,6.044016483311412e-05,-7.759882854980033e-05,-228.38950516442878
Radiology Certification,0.000352959242265,-0.0004565037157689,-229.3360992162827
Computer-Aided Technologies,9.014425225500556e-05,-0.0001170661337051,-229.86533337026987
MSDN-The Microsoft Developer Networks,7.855617516952468e-06,-1.0257429175297137e-05,-230.5744475613985
Pharmacologic Stress Testing,5.714881402020379e-06,-7.476671138781408e-06,-230.82810670643465
Nutraceuticals,7.117833774860166e-05,-9.407771364576716e-05,-232.17183292204004
Azure Machine Learning,9.410232332289605e-05,-0.0001244085181633,-232.2055755588663
Timber Design,4.968242990802788e-07,-6.576285331822501e-07,-232.3664189532702
Nuclear Power,0.0001091125512998,-0.000144947713696,-232.842383364072
Autoscaling,0.0001484147401404,-0.0001977264495463,-233.22561449034725
Certified Manager Of Community Associations,9.485369458795048e-06,-1.2652099340004686e-05,-233.3854141893585
Animal Control,4.230022638374522e-05,-5.664531432381154e-05,-233.91255595165973
Sound Studio,1.258065597069624e-06,-1.7089559971659058e-06,-235.83997536746318
Tape Management Systems,1.4123490830464877e-05,-1.9268391224968968e-05,-236.42796569390873
Electron Capture Detector,2.6057054119703505e-05,-3.5704884685061e-05,-237.02579163798148
Commercial Management,0.0001395804656017,-0.0001912652141661,-237.02864031983177
Unrelated Business Income Tax,3.5245218490775982e-06,-4.842665135441437e-06,-237.3992088234269
Syncsort,1.082136086124908e-05,-1.4887310770710958e-05,-237.57336957518814
Political Communications,2.8759572736143814e-06,-3.95993403404524e-06,-237.69098972282583
Contamination,1.5803661007701023e-05,-2.196105771519776e-05,-238.96183741537027
Telescoping Gauge,1.3199974046080366e-05,-1.8360176217398208e-05,-239.09251755574567
Topic-based Authoring,1.2883627807138915e-06,-1.7957737376612491e-06,-239.38416760737198
Modern Portfolio Theory,2.2317334202350994e-05,-3.1234383255548153e-05,-239.95570874346544
Bank Regulations,0.0003023404959418,-0.0004268811594701,-241.19218735166524
Rack Elevation Drawings,9.545963826083585e-06,-1.349893327638958e-05,-241.4098515595127
Labor Coaching,3.815052120758796e-05,-5.408867458822036e-05,-241.77702656775858
Vietnamese Language,0.0001190002247983,-0.0001691131136194,-242.1115917268552
Suitability Analysis,2.3055400512930918e-05,-3.2796470408431963e-05,-242.25070776817623
DIAlux,1.916052430864788e-06,-2.738116274361305e-06,-242.90403698010957
Hybrid Testing,2.117402272392867e-06,-3.0321531338838184e-06,-243.20156228307036
Googletest,9.06949466261281e-06,-1.2996725245739614e-05,-243.30153695680568
Languages Of Africa,2.8933856271600043e-06,-4.191719741371728e-06,-244.8724878572823
Project-Based Solutions,7.629911395218795e-06,-1.1190077841969222e-05,-246.66065255988912
Video Game Design,1.4211147913236296e-05,-2.0850995490619908e-05,-246.72280957120464
Data Localization,2.332520389024493e-06,-3.426349248992817e-06,-246.89471805328077
Clinical Assay,4.212451324031969e-06,-6.234186005794841e-06,-247.99425622389765
Eloqua,0.0002875223082977,-0.000425875390332,-248.11907738687515
Certified Anesthesia Technician,2.996641388350504e-05,-4.439207031888656e-05,-248.13941531830102
Dentrix,0.0007119472536132,-0.0010554172795836,-248.2437461802482
Qualitative Marketing Research,7.242669923579362e-06,-1.0824162568757455e-05,-249.44989462405468
Heterologous Expression,6.614334055618612e-07,-9.967474421386937e-07,-250.69505618513426
Wrap Account,0.0001032400201139,-0.0001556310137896,-250.7467875518616
Phylogenetics,2.526900446439288e-05,-3.820289403748998e-05,-251.18480069653134
Cellular Networks,8.468368712471501e-05,-0.0001282507929634,-251.44686930615458
Therapeutic Modalities,0.0001745970652016,-0.000264749315336,-251.63445905021652
Online Mendelian Inheritance In Man,2.366264144435458e-06,-3.6110415934960473e-06,-252.6051773208763
Network Analysis Module,1.4073246109528558e-05,-2.148339192741666e-05,-252.654133667647
Salesforce SteelBrick,1.4082065274830917e-05,-2.166148778415858e-05,-253.82323090686475
Working With The Developmentally Disabled,2.066451605981872e-05,-3.189804745454218e-05,-254.36145401230368
Certified Registered Nurse Infusion,6.286365175040713e-05,-9.729640872140284e-05,-254.77371424063463
Indigenous Studies,9.944595832380212e-06,-1.5393629181071514e-05,-254.79391460987202
Computer Graphics,8.605250673498417e-05,-0.0001333158951572,-254.9238949746959
PcAnywhere,6.614334055618612e-07,-1.0254167849318748e-06,-255.02948238013835
Dividend Calculations,4.4600486680510653e-07,-6.927603880503998e-07,-255.32574633386668
Genotyping,0.0001019898414775,-0.0001586798028724,-255.5839293145743
Information Ordering,5.201885206592061e-05,-8.095902714146531e-05,-255.6340132974684
DNA Sequencing,0.0002356312009287,-0.0003674564753287,-255.94559374158993
Registered Phlebology Sonographer,1.995718368934956e-05,-3.1186499620100035e-05,-256.2670370005321
Webroot Antivirus With Spy Sweeper,6.614334055618612e-07,-1.0402317166424858e-06,-257.2693044976842
Config Files,1.919499002631485e-06,-3.026339112506903e-06,-257.66296874121974
Sound Forge,1.2588258720684904e-06,-1.990176422344684e-06,-258.097832790364
Spyware,6.459756814198233e-05,-0.0001032728779576,-259.87115448465676
Equipment Specification Development,6.276896501508966e-07,-1.00362715666412e-06,-259.89225828765024
ASE Medium-Heavy Truck Certification,1.2789495647351462e-05,-2.0614425866803027e-05,-261.1824768951855
Critical Design Review (CDR),7.131813816350403e-05,-0.0001156692207337,-262.1876618098423
Test Patterns,2.383339821299666e-06,-3.88771712366826e-06,-263.12055414524303
System Identification,7.997582858322042e-06,-1.3062696276952293e-05,-263.33305335323473
Hermeneutics,4.4600486680510653e-07,-7.287069832279782e-07,-263.38543308909806
Recovery Manager (RMAN),9.839287549949708e-05,-0.000161228022104,-263.8614800975342
Network Service,0.0001588866443161,-0.0002605391811959,-263.97802491036657
Chisels,0.0001641818517403,-0.0002707677809364,-264.91943419221246
gRPC,0.0001655962959036,-0.0002731175708901,-264.9297584826972
Eddy-Current Testing,4.968242990802788e-07,-8.250994756676475e-07,-266.07470230322303
Computer-Aided Manufacturing,0.0004593793354705,-0.0007667352300301,-266.9067741684122
Modulation,1.866865379561427e-05,-3.128660009530551e-05,-267.5889458224112
JBoss EAP,9.545963826083585e-06,-1.599817149809626e-05,-267.5909503698572
Information Theory,3.3386302189662446e-06,-5.6431267834840045e-06,-269.0252113404554
Thermal Design,2.6546628459471285e-05,-4.488192959837879e-05,-269.06828551467464
Compressor Station,7.74294079442634e-06,-1.310118958695991e-05,-269.2017275450516
Cloud-To-Cloud,3.5059608039817874e-05,-5.932603275229099e-05,-269.21476328233126
Gurobi,7.934924580690198e-05,-0.0001366772690347,-272.24772289242287
Laser Beam Welding,7.940037395534879e-06,-1.3920575762227202e-05,-275.32128715231886
Link Adaptation,2.5513954995479453e-06,-4.477166988148384e-06,-275.4791442150637
Disability Claims Management,6.991331122346629e-06,-1.2442476496011184e-05,-277.9700643306805
SQL Tuning,6.113587785553515e-05,-0.0001090113583808,-278.30995841491836
Tyrosine Kinases,1.1074382723669676e-06,-1.979995078998612e-06,-278.7905591132133
5S Methodology,8.466741549024378e-05,-0.0001514569983873,-278.88463644523597
Intraoperative Neurophysiological Monitoring,2.291308996630964e-05,-4.120591290171204e-05,-279.8356876453561
Pipeline Pilot,7.2856926282185475e-06,-1.3165423034300242e-05,-280.70242194007255
CA Application Performance Management,3.637958846602593e-06,-6.590666361718126e-06,-281.16385147877634
Proposal Strategy,9.135296104003056e-05,-0.0001657101127418,-281.39544778322664
Writing Outlines,3.665975205250261e-06,-6.705017081860123e-06,-282.89859331992943
Electro-Optics,6.179960899787022e-05,-0.0001133311864798,-283.38495715030444
Spark Framework,8.383761437343386e-06,-1.5600602371515488e-05,-286.081181914677
IP Multicasting,1.3533399105809091e-05,-2.5270493652439927e-05,-286.72687810997013
Cryptographic Keys,1.3228668111237224e-06,-2.477110780393408e-06,-287.2532260665911
Data Warehousing And Business Intelligence (DWBI),5.3753033947788576e-05,-0.0001007812683461,-287.48945118891504
Domain Name System (DNS) Servers,7.112564847507611e-06,-1.336818113434113e-05,-287.9516239352899
Intermodulation,6.614334055618612e-07,-1.2446523675441772e-06,-288.17500856142806
Demand Sensing,8.471365725024987e-06,-1.603996382672466e-05,-289.34330481496653
Biofilm,7.398264370046448e-06,-1.403567045218026e-05,-289.71571912199914
PlanSwift (Takeoff Software),1.825215911957646e-05,-3.463392939742464e-05,-289.75250637760337
Distribution Amplifier,2.0029238788866943e-05,-3.816572906134914e-05,-290.55007263962113
Certified Mental Performance Consultant,6.269293751520304e-07,-1.1957898670164577e-06,-290.73757179211435
Joint Test Action (IEEE Standards),0.0001131495482443,-0.0002160463123608,-290.93873171666286
Authorized Economic Operator,6.614334055618612e-07,-1.265970845870196e-06,-291.39808108040813
High-Level Architecture,8.037044302436926e-05,-0.0001544571469429,-292.181529839355
Teacher Quality Assessments,8.656301153118172e-05,-0.000167606084768,-293.62321366051935
Urban Ecology,4.613771492900077e-06,-9.022326277180696e-06,-295.552083389148
Web Server Security,1.5091406637136535e-05,-2.9641588790301043e-05,-296.4136909369323
Metabolic Engineering,1.9674593337831617e-05,-3.868913828389271e-05,-296.6451739030288
Social Media Management,0.0012985530349004,-0.0025651989200684,-297.5428689568426
Archaeology,7.624702923562015e-05,-0.0001506253168997,-297.54909589229305
Private Property,5.6095866644165e-05,-0.0001110624525717,-297.98687357164226
Windows Workflow Foundation,1.1493541580428483e-05,-2.2791873573946968e-05,-298.30157149087614
Non-Relational Data Stores,1.7206989140443544e-05,-3.412589127496041e-05,-298.3257558682968
Fuel Filter,2.649040566468093e-05,-5.276645858113509e-05,-299.1908287440363
Graph Theory,2.104680981377113e-05,-4.198532714208153e-05,-299.48546840866175
Certified Salesforce Sales Cloud Consultant,5.95285679043939e-06,-1.2010869981089597e-05,-301.76648630922386
GeoServer,3.8002871280875766e-06,-7.669573292995059e-06,-301.8156269380263
Location-Based Services,7.944840493868237e-05,-0.0001613818367571,-303.12784993185596
Consumer Product Safety Improvement Act,4.846108595499639e-06,-9.849423717204254e-06,-303.2439744819372
EM Simulation Software,6.311362219175937e-07,-1.287121824676908e-06,-303.93724523783783
Catering Equipment,4.450851834126724e-05,-9.110363053924108e-05,-304.6880775511504
Color Layout Descriptor,2.5434539426167275e-05,-5.206921837924767e-05,-304.7185423993894
Andrology,2.090091643933754e-05,-4.308969456255045e-05,-306.16174744113846
Apache Tiles,6.269293751520304e-07,-1.2929409622407252e-06,-306.2339098287087
Population Genetics,3.218878453825574e-05,-6.641498175005855e-05,-306.3295731813845
General Mathematics,0.000461564775305,-0.0009547306496843,-306.8465144580017
Registered Vascular Specialist,2.2153871605539004e-05,-4.603985523120436e-05,-307.8185522195285
Background Task,1.0729342419571368e-06,-2.2366447350613862e-06,-308.4605605448408
Infrastructure Management Services,1.2186533961630482e-05,-2.550980466421273e-05,-309.3278100609312
EPA Type II Certification,1.8471324774458158e-05,-3.868551154694581e-05,-309.4355008063065
Infusionsoft,1.2993886328132432e-05,-2.72212006570632e-05,-309.4923717943253
Computational Electromagnetics,2.1982084661871786e-06,-4.641174000414027e-06,-311.13438838056175
Intracytoplasmic Sperm Injection,7.712050448804607e-06,-1.637523768008156e-05,-312.3331244885694
Certified Dietary Manager (CDM),0.0001422910779494,-0.0003036434999067,-313.39602193095925
Certified Hyperbaric Technologist,4.130576298917308e-06,-8.824269585092882e-06,-313.6328915508925
Piping Assembly,1.1020051123887428e-05,-2.35738477037538e-05,-313.9177707865107
Schematic Capture,0.0001597883229257,-0.0003423833478523,-314.2730717635136
Medical Surgical Intensive Care Unit,4.567158907390468e-06,-9.790888470616864e-06,-314.37591003837156
2D Animation,2.021498524407093e-05,-4.343713544709889e-05,-314.87591963411916
Certified Histotechnician  (HT-ASCP),6.387428727410809e-05,-0.0001375494401642,-315.3439921355596
Robotic Surgery,5.015554154382104e-05,-0.0001083476626674,-316.0233133416301
Docking (Computers),5.412033632730824e-05,-0.0001175755017652,-317.2482836287795
Mechanism Design,5.1934325949044666e-05,-0.0001135784523898,-318.6963059869833
Tire Changer,6.781299144949789e-05,-0.0001484923270461,-318.9732732210849
Android UI,4.874970343490805e-05,-0.0001069308194718,-319.34660508156117
Health Information Technology For Economic And Clinical Health Act,9.080955394841656e-06,-1.994986780622586e-05,-319.68908489032094
Construction Monitoring,0.0001199915465375,-0.0002639291052229,-319.9564159633665
Amazon Simple Email Service (SES),1.292569627479455e-06,-2.8478030415194662e-06,-320.32105512743306
SoftMed,2.420530148477328e-06,-5.395426471225136e-06,-322.9026758712017
Composite Application,1.1245139492311755e-06,-2.5121663013059253e-06,-323.4001901909247
Private Pilot,1.0273461368661963e-05,-2.3044479221763216e-05,-324.31075948810985
Network Provisioning,9.359311920973362e-06,-2.1051731014098733e-05,-324.92819121589196
Forensic Toxicology,1.550971516539503e-05,-3.4926775421243624e-05,-325.1928874823669
Fedwire,1.2605981757686456e-05,-2.8403761128662577e-05,-325.3197067443278
Occupational Exposure Limit,4.968242990802788e-07,-1.1213271454678388e-06,-325.69893371633384
Powder Handling,4.850315442265202e-06,-1.0962814529665715e-05,-326.02271254642034
Siebel Eservice,1.5534431391720742e-06,-3.5181959659411948e-06,-326.4772927457299
Eye Irrigation,3.416164596082651e-05,-7.792918786673057e-05,-328.118949409208
Graphics Software,2.3726397620124807e-05,-5.417125802158952e-05,-328.31640474423006
Nuchal Scan,1.5044394251680834e-05,-3.440826450138963e-05,-328.7115315230812
Oil Pressure,7.713403885780937e-06,-1.7663160993818486e-05,-328.9930782229511
Flange,2.1609587200810053e-05,-4.955778292077924e-05,-329.3323905739464
3CX Phone Systems,1.258065597069624e-06,-2.886566676665814e-06,-329.4448463887265
Live Instrumentation,1.2883627807138915e-06,-2.9617484193092237e-06,-329.88466165314844
Linear Model,3.916228244476693e-05,-9.016538308099304e-05,-330.2352606954384
Spirometry,0.0002525802398132,-0.0005824201906699,-330.58818500633254
Microstrip,2.8236172913414764e-06,-6.524818096496648e-06,-331.08011544286734
DNA Collection,1.7040704638747303e-06,-3.943698115662467e-06,-331.4281128196572
Cholecystectomy,1.4803685710106437e-05,-3.465086515582708e-05,-334.0691759767031
Microsoft Dynamics AX,0.00023065336833,-0.0005405866732402,-334.37189630232183
Grief Counseling,5.204285453847823e-05,-0.0001221060432572,-334.6259526692951
iKnowMed EHR,7.737372706178539e-06,-1.822711636052665e-05,-335.5724230005324
Electronic Submission,0.0001058893120238,-0.0002509530457705,-336.9956334347465
Electrical Ballast,1.292569627479455e-06,-3.072698709235595e-06,-337.72016949117386
Monoclonal Antibody Production,6.269293751520304e-07,-1.4909621397049074e-06,-337.8197925951945
Calculus Removal,2.9671031827087847e-06,-7.085704369818928e-06,-338.8088291338123
Depth Gauges,7.249281114923044e-05,-0.0001732195687216,-338.9472362508028
Edge Banding,5.377436924989748e-06,-1.2875610922637915e-05,-339.43769312854306
Brute Force Attacks,7.987498904253617e-06,-1.913143701102074e-05,-339.5172411332989
